Mareografo,Fecha,Nivel
Buenos  Aires,2025-04-08 19:45:00-03:00,1.72
Buenos  Aires,2025-04-08 20:45:00-03:00,1.5
Buenos  Aires,2025-04-08 21:45:00-03:00,1.3
Buenos  Aires,2025-04-08 22:45:00-03:00,1.14
Buenos  Aires,2025-04-08 23:45:00-03:00,1.04
Buenos  Aires,2025-04-09 00:00:00-03:00,1.07
Buenos  Aires,2025-04-09 00:45:00-03:00,1.07
Buenos  Aires,2025-04-09 01:45:00-03:00,1.07
Buenos  Aires,2025-04-09 02:45:00-03:00,1.14
Buenos  Aires,2025-04-09 03:45:00-03:00,1.16
Buenos  Aires,2025-04-09 04:45:00-03:00,1.2
Buenos  Aires,2025-04-09 05:45:00-03:00,1.15
Buenos  Aires,2025-04-09 06:45:00-03:00,1.1
Buenos  Aires,2025-04-09 07:45:00-03:00,1.08
Buenos  Aires,2025-04-09 08:45:00-03:00,0.89
Buenos  Aires,2025-04-09 09:45:00-03:00,0.83
Buenos  Aires,2025-04-09 10:45:00-03:00,0.72
Buenos  Aires,2025-04-09 11:45:00-03:00,0.69
Buenos  Aires,2025-04-09 12:45:00-03:00,0.76
Buenos  Aires,2025-04-09 13:45:00-03:00,0.98
Buenos  Aires,2025-04-09 14:45:00-03:00,1.32
Buenos  Aires,2025-04-09 15:45:00-03:00,1.48
Buenos  Aires,2025-04-09 16:45:00-03:00,1.67
Buenos  Aires,2025-04-09 17:45:00-03:00,1.66
Buenos  Aires,2025-04-09 18:45:00-03:00,1.54
Buenos  Aires,2025-04-09 19:45:00-03:00,1.44
Buenos  Aires,2025-04-09 20:45:00-03:00,1.24
Buenos  Aires,2025-04-09 21:45:00-03:00,1.07
Buenos  Aires,2025-04-09 22:45:00-03:00,1
Buenos  Aires,2025-04-09 23:45:00-03:00,0.84
Buenos  Aires,2025-04-10 00:00:00-03:00,0.65
Buenos  Aires,2025-04-10 00:45:00-03:00,0.77
Buenos  Aires,2025-04-10 01:45:00-03:00,0.65
Buenos  Aires,2025-04-10 02:45:00-03:00,0.58
Buenos  Aires,2025-04-10 03:45:00-03:00,0.55
Buenos  Aires,2025-04-10 04:45:00-03:00,0.55
Buenos  Aires,2025-04-10 05:45:00-03:00,0.6
Buenos  Aires,2025-04-10 06:45:00-03:00,0.59
Buenos  Aires,2025-04-10 07:45:00-03:00,0.57
Buenos  Aires,2025-04-10 08:45:00-03:00,0.56
Buenos  Aires,2025-04-10 09:45:00-03:00,0.44
Buenos  Aires,2025-04-10 10:45:00-03:00,0.28
Buenos  Aires,2025-04-10 11:45:00-03:00,0.27
Buenos  Aires,2025-04-10 12:45:00-03:00,0.18
Buenos  Aires,2025-04-10 13:45:00-03:00,0.14
Buenos  Aires,2025-04-10 14:45:00-03:00,0.17
Buenos  Aires,2025-04-10 15:45:00-03:00,0.41
Buenos  Aires,2025-04-10 16:45:00-03:00,0.62
Buenos  Aires,2025-04-10 17:45:00-03:00,0.79
Buenos  Aires,2025-04-10 18:45:00-03:00,0.89
Buenos  Aires,2025-04-10 19:45:00-03:00,1.08
Buenos  Aires,2025-04-10 20:45:00-03:00,1.06
Buenos  Aires,2025-04-10 21:45:00-03:00,1
Buenos  Aires,2025-04-10 22:45:00-03:00,0.82
Buenos  Aires,2025-04-10 23:45:00-03:00,0.7
Buenos  Aires,2025-04-11 00:00:00-03:00,0.54
Buenos  Aires,2025-04-11 00:45:00-03:00,0.54
Buenos  Aires,2025-04-11 01:45:00-03:00,0.47
Buenos  Aires,2025-04-11 02:45:00-03:00,0.46
Buenos  Aires,2025-04-11 03:45:00-03:00,0.46
Buenos  Aires,2025-04-11 04:45:00-03:00,0.53
Buenos  Aires,2025-04-11 05:45:00-03:00,0.68
Buenos  Aires,2025-04-11 06:45:00-03:00,0.69
Buenos  Aires,2025-04-11 07:45:00-03:00,0.75
Buenos  Aires,2025-04-11 08:45:00-03:00,0.73
Buenos  Aires,2025-04-11 09:45:00-03:00,0.67
Buenos  Aires,2025-04-11 10:45:00-03:00,0.56
Buenos  Aires,2025-04-11 11:45:00-03:00,0.45
Buenos  Aires,2025-04-11 12:45:00-03:00,0.33
Buenos  Aires,2025-04-11 13:45:00-03:00,0.28
Buenos  Aires,2025-04-11 14:45:00-03:00,0.31
Buenos  Aires,2025-04-11 15:45:00-03:00,0.51
Buenos  Aires,2025-04-11 16:45:00-03:00,0.78
Buenos  Aires,2025-04-11 17:45:00-03:00,0.94
Buenos  Aires,2025-04-11 18:45:00-03:00,1.06
Buenos  Aires,2025-04-11 19:45:00-03:00,1.2
Buenos  Aires,2025-04-11 20:45:00-03:00,1.22
Buenos  Aires,2025-04-11 21:45:00-03:00,1.12
Buenos  Aires,2025-04-11 22:45:00-03:00,1.03
Buenos  Aires,2025-04-11 23:45:00-03:00,0.87
Buenos  Aires,2025-04-12 00:00:00-03:00,0.67
Buenos  Aires,2025-04-12 00:45:00-03:00,0.77
Buenos  Aires,2025-04-12 01:45:00-03:00,0.67
Buenos  Aires,2025-04-12 02:45:00-03:00,0.57
Buenos  Aires,2025-04-12 03:45:00-03:00,0.53
Buenos  Aires,2025-04-12 04:45:00-03:00,0.5
Buenos  Aires,2025-04-12 05:45:00-03:00,0.52
Buenos  Aires,2025-04-12 06:45:00-03:00,0.56
Buenos  Aires,2025-04-12 07:45:00-03:00,0.57
Buenos  Aires,2025-04-12 08:45:00-03:00,0.51
Buenos  Aires,2025-04-12 09:45:00-03:00,0.4
Buenos  Aires,2025-04-12 10:45:00-03:00,0.27
Buenos  Aires,2025-04-12 11:45:00-03:00,0.2
Buenos  Aires,2025-04-12 12:45:00-03:00,0.13
Buenos  Aires,2025-04-12 13:45:00-03:00,0.08
Buenos  Aires,2025-04-12 14:45:00-03:00,-0.03
Buenos  Aires,2025-04-12 15:45:00-03:00,-0.09
Buenos  Aires,2025-04-12 16:45:00-03:00,0.05
Buenos  Aires,2025-04-12 17:45:00-03:00,0.28
Buenos  Aires,2025-04-12 18:45:00-03:00,0.48
Buenos  Aires,2025-04-12 19:45:00-03:00,0.62
Buenos  Aires,2025-04-12 20:45:00-03:00,0.68
Buenos  Aires,2025-04-12 21:45:00-03:00,0.67
Buenos  Aires,2025-04-12 22:45:00-03:00,0.71
Buenos  Aires,2025-04-12 23:45:00-03:00,0.65
Buenos  Aires,2025-04-13 00:00:00-03:00,0.4
Buenos  Aires,2025-04-13 00:45:00-03:00,0.55
Buenos  Aires,2025-04-13 01:45:00-03:00,0.4
Buenos  Aires,2025-04-13 02:45:00-03:00,0.37
Buenos  Aires,2025-04-13 03:45:00-03:00,0.5
Buenos  Aires,2025-04-13 04:45:00-03:00,0.75
Buenos  Aires,2025-04-13 05:45:00-03:00,0.9
Buenos  Aires,2025-04-13 06:45:00-03:00,1.04
Buenos  Aires,2025-04-13 07:45:00-03:00,1.17
Buenos  Aires,2025-04-13 08:45:00-03:00,1.24
Buenos  Aires,2025-04-13 09:45:00-03:00,1.25
Buenos  Aires,2025-04-13 10:45:00-03:00,1.15
Buenos  Aires,2025-04-13 11:45:00-03:00,1.02
Buenos  Aires,2025-04-13 12:45:00-03:00,0.93
Buenos  Aires,2025-04-13 13:45:00-03:00,0.81
Buenos  Aires,2025-04-13 14:45:00-03:00,0.79
Buenos  Aires,2025-04-13 15:45:00-03:00,0.93
Buenos  Aires,2025-04-13 16:45:00-03:00,1.2
Buenos  Aires,2025-04-13 17:45:00-03:00,1.35
Buenos  Aires,2025-04-13 18:45:00-03:00,1.41
Buenos  Aires,2025-04-13 19:45:00-03:00,1.62
Buenos  Aires,2025-04-13 20:45:00-03:00,1.63
Buenos  Aires,2025-04-13 21:45:00-03:00,1.62
Buenos  Aires,2025-04-13 22:45:00-03:00,1.55
Buenos  Aires,2025-04-13 23:45:00-03:00,1.36
Buenos  Aires,2025-04-14 00:00:00-03:00,1.09
Buenos  Aires,2025-04-14 00:45:00-03:00,1.21
Buenos  Aires,2025-04-14 01:45:00-03:00,1.09
Buenos  Aires,2025-04-14 02:45:00-03:00,1.06
Buenos  Aires,2025-04-14 03:45:00-03:00,1.3
Buenos  Aires,2025-04-14 04:45:00-03:00,1.63
Buenos  Aires,2025-04-14 05:45:00-03:00,1.81
Buenos  Aires,2025-04-14 06:45:00-03:00,1.94
Buenos  Aires,2025-04-14 07:45:00-03:00,1.98
Buenos  Aires,2025-04-14 08:45:00-03:00,1.94
Buenos  Aires,2025-04-14 09:45:00-03:00,1.8
Buenos  Aires,2025-04-14 10:45:00-03:00,1.64
Buenos  Aires,2025-04-14 11:45:00-03:00,1.44
Buenos  Aires,2025-04-14 12:45:00-03:00,1.31
Buenos  Aires,2025-04-14 13:45:00-03:00,1.17
Buenos  Aires,2025-04-14 14:45:00-03:00,1.05
Buenos  Aires,2025-04-14 15:45:00-03:00,0.97
Buenos  Aires,2025-04-14 16:45:00-03:00,0.99
Buenos  Aires,2025-04-14 17:45:00-03:00,1.16
Buenos  Aires,2025-04-14 18:45:00-03:00,1.36
Buenos  Aires,2025-04-14 19:45:00-03:00,1.51
Buenos  Aires,2025-04-14 20:45:00-03:00,1.56
Buenos  Aires,2025-04-14 21:45:00-03:00,1.57
Buenos  Aires,2025-04-14 22:45:00-03:00,1.51
Buenos  Aires,2025-04-14 23:45:00-03:00,1.43
Buenos  Aires,2025-04-15 00:00:00-03:00,1.19
Buenos  Aires,2025-04-15 00:45:00-03:00,1.3
Buenos  Aires,2025-04-15 01:45:00-03:00,1.19
Buenos  Aires,2025-04-15 02:45:00-03:00,1.05
Buenos  Aires,2025-04-15 03:45:00-03:00,0.97
Buenos  Aires,2025-04-15 04:45:00-03:00,0.92
Buenos  Aires,2025-04-15 05:45:00-03:00,1.08
Buenos  Aires,2025-04-15 06:45:00-03:00,1.26
Buenos  Aires,2025-04-15 07:45:00-03:00,1.34
Buenos  Aires,2025-04-15 08:45:00-03:00,1.34
Buenos  Aires,2025-04-15 09:45:00-03:00,1.3
Buenos  Aires,2025-04-15 10:45:00-03:00,1.22
Buenos  Aires,2025-04-15 11:45:00-03:00,1.13
Buenos  Aires,2025-04-15 12:45:00-03:00,0.97
Buenos  Aires,2025-04-15 13:45:00-03:00,0.79
Buenos  Aires,2025-04-15 14:45:00-03:00,0.69
Buenos  Aires,2025-04-15 15:45:00-03:00,0.62
Buenos  Aires,2025-04-15 16:45:00-03:00,0.69
Buenos  Aires,2025-04-15 17:45:00-03:00,0.76
Buenos  Aires,2025-04-15 18:45:00-03:00,0.98
Buenos  Aires,2025-04-15 19:45:00-03:00,1.16
Buenos  Aires,2025-04-15 20:45:00-03:00,1.28
Buenos  Aires,2025-04-15 21:45:00-03:00,1.32
Buenos  Aires,2025-04-15 22:45:00-03:00,1.37
Buenos  Aires,2025-04-15 23:45:00-03:00,1.24
Buenos  Aires,2025-04-16 00:00:00-03:00,0.99
Buenos  Aires,2025-04-16 00:45:00-03:00,1.16
Buenos  Aires,2025-04-16 01:45:00-03:00,0.99
Buenos  Aires,2025-04-16 02:45:00-03:00,0.89
Buenos  Aires,2025-04-16 03:45:00-03:00,0.78
Buenos  Aires,2025-04-16 04:45:00-03:00,0.65
Buenos  Aires,2025-04-16 05:45:00-03:00,0.73
Buenos  Aires,2025-04-16 06:45:00-03:00,0.9
Buenos  Aires,2025-04-16 07:45:00-03:00,1
Buenos  Aires,2025-04-16 08:45:00-03:00,1.05
Buenos  Aires,2025-04-16 09:45:00-03:00,1.08
Buenos  Aires,2025-04-16 10:45:00-03:00,1.05
Buenos  Aires,2025-04-16 11:45:00-03:00,0.95
Buenos  Aires,2025-04-16 12:45:00-03:00,0.83
Buenos  Aires,2025-04-16 13:45:00-03:00,0.76
Buenos  Aires,2025-04-16 14:45:00-03:00,0.64
Buenos  Aires,2025-04-16 15:45:00-03:00,0.54
Buenos  Aires,2025-04-16 16:45:00-03:00,0.47
Buenos  Aires,2025-04-16 17:45:00-03:00,0.51
Buenos  Aires,2025-04-16 18:45:00-03:00,0.75
Buenos  Aires,2025-04-16 19:45:00-03:00,1.01
Buenos  Aires,2025-04-16 20:45:00-03:00,1.13
Buenos  Aires,2025-04-16 21:45:00-03:00,1.27
Buenos  Aires,2025-04-16 22:45:00-03:00,1.34
Buenos  Aires,2025-04-16 23:45:00-03:00,1.36
Buenos  Aires,2025-04-17 00:00:00-03:00,1.16
Buenos  Aires,2025-04-17 00:45:00-03:00,1.3
Buenos  Aires,2025-04-17 01:45:00-03:00,1.16
Buenos  Aires,2025-04-17 02:45:00-03:00,0.87
Buenos  Aires,2025-04-17 03:45:00-03:00,0.73
Buenos  Aires,2025-04-17 04:45:00-03:00,0.83
Buenos  Aires,2025-04-17 05:45:00-03:00,0.51
Buenos  Aires,2025-04-17 06:45:00-03:00,0.52
Buenos  Aires,2025-04-17 07:45:00-03:00,0.71
Buenos  Aires,2025-04-17 08:45:00-03:00,0.9
