,Fecha,Altura_pronosticada,Fecha_Prono,Altura_observada,Anticipacion_hs,Error_absoluto,Error_relativo_%
99,2025-04-21 11:00:00,0.9,2025-04-20 22:00:00,1.1975,13.0,0.2975,24.843423799582464
103,2025-04-21 19:00:00,0.4,2025-04-21 09:00:00,0.3725,10.0,0.027500000000000024,-7.382550335570477
104,2025-04-21 23:00:00,0.65,2025-04-21 22:00:00,0.5650000000000001,1.0,0.08499999999999996,-15.044247787610612
105,2025-04-22 05:30:00,0.3,2025-04-21 22:00:00,0.2275,7.5,0.07249999999999998,-31.868131868131858
106,2025-04-22 12:00:00,1.1,2025-04-22 08:00:00,1.1,4.0,0.0,0.0
109,2025-04-22 19:00:00,0.6,2025-04-22 08:00:00,1.1525,11.0,0.5525000000000001,47.939262472885034
111,2025-04-23 00:00:00,0.95,2025-04-22 17:00:00,1.53,7.0,0.5800000000000001,37.90849673202615
112,2025-04-23 00:00:00,1.55,2025-04-23 00:00:00,1.53,0.0,0.020000000000000018,-1.3071895424836613
115,2025-04-23 06:00:00,0.7,2025-04-22 17:00:00,0.8925000000000001,13.0,0.19250000000000012,21.5686274509804
114,2025-04-23 06:00:00,0.9,2025-04-23 00:00:00,0.8925000000000001,6.0,0.007499999999999951,-0.840336134453776
118,2025-04-23 13:00:00,1.35,2025-04-23 00:00:00,0.999642857142857,13.0,0.35035714285714303,-35.048231511254045
120,2025-04-23 20:00:00,0.5,2025-04-23 09:00:00,0.32,11.0,0.18,-56.25
121,2025-04-23 20:00:00,0.3,2025-04-23 20:00:00,0.32,0.0,0.020000000000000018,6.250000000000005
122,2025-04-24 01:00:00,0.6,2025-04-23 20:00:00,0.7825,5.0,0.1825,23.32268370607029
123,2025-04-24 08:00:00,0.3,2025-04-23 20:00:00,1.045,12.0,0.7449999999999999,71.29186602870813
